"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
217,"2020-03-01 00:09:53.7930","2020-03-01 00:13:30.8450",479,"9 Ave & W 45 St",40.76019252,-73.9912551,3798,"W 40 St & 5 Ave",40.752269,-73.982079,39078,"Subscriber",1964,1
630,"2020-03-01 00:10:21.0560","2020-03-01 00:20:52.0140",3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,28372,"Subscriber",1961,1
193,"2020-03-01 00:10:21.3710","2020-03-01 00:13:35.2780",254,"W 11 St & 6 Ave",40.73532427,-73.99800419,380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,27683,"Subscriber",1985,1
149,"2020-03-01 00:10:25.3040","2020-03-01 00:12:55.1950",119,"Park Ave & St Edwards St",40.69608941,-73.97803415,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,38563,"Subscriber",1978,2
121,"2020-03-01 00:10:27.5590","2020-03-01 00:12:29.3570",350,"Clinton St & Grand St",40.71559509,-73.9870295,291,"Madison St & Montgomery St",40.713126,-73.984844,16147,"Subscriber",1997,1
379,"2020-03-01 00:10:34.2820","2020-03-01 00:16:54.2000",3544,"Underhill Ave & Pacific St",40.6804836,-73.9646795,3416,"7 Ave & Park Pl",40.6776147,-73.97324283,35241,"Subscriber",1988,1
333,"2020-03-01 00:10:38.6020","2020-03-01 00:16:11.7740",3409,"Bergen St & Smith St",40.6867443,-73.99063168,467,"Dean St & 4 Ave",40.68312489,-73.97895137,28469,"Subscriber",1992,1
999,"2020-03-01 00:10:40.3490","2020-03-01 00:27:20.2850",267,"Broadway & W 36 St",40.75097711,-73.98765428,503,"E 20 St & Park Ave",40.73827428,-73.98751968,40655,"Customer",1995,2
1102,"2020-03-01 00:10:41.3120","2020-03-01 00:29:03.8190",3637,"Fulton St & Waverly Ave",40.683238654603414,-73.96599590778351,3868,"Knickerbocker Ave & Halsey St",40.693,-73.90824,35189,"Subscriber",1977,1
109,"2020-03-01 00:10:42.1270","2020-03-01 00:12:32.0760",245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,119,"Park Ave & St Edwards St",40.69608941,-73.97803415,34090,"Subscriber",1963,1
209,"2020-03-01 00:10:51.2760","2020-03-01 00:14:21.1210",289,"Monroe St & Classon Ave",40.6845683,-73.95881081,364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,40351,"Subscriber",1938,2
505,"2020-03-01 00:10:55.6720","2020-03-01 00:19:21.6140",3332,"Degraw St & Hoyt St",40.681990442707026,-73.99079024791718,406,"Hicks St & Montague St",40.69512845,-73.99595065,35086,"Subscriber",1964,1
981,"2020-03-01 00:11:00.9270","2020-03-01 00:27:22.1630",267,"Broadway & W 36 St",40.75097711,-73.98765428,503,"E 20 St & Park Ave",40.73827428,-73.98751968,28377,"Customer",1995,1
144,"2020-03-01 00:11:02.0390","2020-03-01 00:13:26.7820",311,"Norfolk St & Broome St",40.7172274,-73.98802084,502,"Henry St & Grand St",40.714211,-73.981095,36474,"Subscriber",1999,2
539,"2020-03-01 00:11:11.1550","2020-03-01 00:20:10.2520",474,"5 Ave & E 29 St",40.7451677,-73.98683077,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,28225,"Subscriber",1989,1
1964,"2020-03-01 00:11:25.1230","2020-03-01 00:44:09.1740",3325,"E 95 St & 3 Ave",40.7849032,-73.950503,3491,"E 118 St & 1 Ave",40.79747,-73.93504,36503,"Subscriber",1990,2
125,"2020-03-01 00:11:34.1940","2020-03-01 00:13:39.4720",3263,"Cooper Square & Astor Pl",40.72951496224949,-73.99075269699097,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,39227,"Subscriber",1991,1
462,"2020-03-01 00:11:37.1850","2020-03-01 00:19:19.3060",3809,"W 55 St & 6 Ave",40.763189,-73.978434,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,15553,"Subscriber",1987,1
